time,ip_address,packets_input,packets_output,packets_dropped
2023-06-01 16:07:15,67.176.52.206,193499,116721,5751
2023-06-01 16:09:25,67.176.52.206,195405,118679,5854
2023-06-01 16:16:28,67.176.52.206,201830,123613,6218
2023-06-01 16:18:04,67.176.52.206,202507,124254,6294
2023-06-01 16:20:05,67.176.52.206,204359,125440,6393
2023-06-01 16:22:05,67.176.52.206,205262,126222,6491
2023-06-01 16:24:05,67.176.52.206,212862,128597,6586
2023-06-01 16:26:05,67.176.52.206,214172,129737,6676
2023-06-01 16:28:04,67.176.52.206,216112,131150,6774
2023-06-01 16:30:05,67.176.52.206,226666,136628,6878
2023-06-01 16:32:04,67.176.52.206,227774,137405,6971
2023-06-01 16:34:05,67.176.52.206,232632,140467,7096
2023-06-01 16:36:04,67.176.52.206,243657,146800,7214
2023-06-01 16:38:05,67.176.52.206,251265,152928,7364
2023-06-01 16:40:05,67.176.52.206,253424,154702,7493
2023-06-01 16:42:05,67.176.52.206,261077,161085,7605
2023-06-01 16:44:05,67.176.52.206,263049,162598,7707
2023-06-01 16:46:04,67.176.52.206,264119,163351,7810
2023-06-01 16:48:05,67.176.52.206,267985,166475,7937
2023-06-01 16:50:04,67.176.52.206,271214,168723,8030
2023-06-01 16:52:05,67.176.52.206,273639,170148,8124
2023-06-01 16:54:05,67.176.52.206,275369,171161,8210
2023-06-01 16:56:05,67.176.52.206,276128,171728,8310
2023-06-01 16:58:05,67.176.52.206,280345,174897,8409
2023-06-01 17:00:04,67.176.52.206,285413,180868,8506
2023-06-01 17:02:05,67.176.52.206,286680,181757,8595
2023-06-01 17:04:04,67.176.52.206,287291,182258,8700
2023-06-01 17:06:05,67.176.52.206,288043,182779,8806
2023-06-01 17:08:04,67.176.52.206,288907,183307,8902
2023-06-01 17:10:05,67.176.52.206,289665,183747,9004
2023-06-01 17:12:05,67.176.52.206,290481,184323,9103
2023-06-01 17:14:05,67.176.52.206,291247,184915,9223
2023-06-01 17:16:05,67.176.52.206,291830,185354,9324
2023-06-01 17:18:04,67.176.52.206,294224,187649,9423
2023-06-01 17:20:05,67.176.52.206,294863,188144,9522
2023-06-01 17:22:04,67.176.52.206,322237,204630,9668
2023-06-01 17:24:05,67.176.52.206,326547,207480,9765
2023-06-01 17:26:05,67.176.52.206,332925,209606,9849
2023-06-01 17:28:05,67.176.52.206,335224,211253,9947
2023-06-01 17:30:05,67.176.52.206,337293,212466,10045
2023-06-01 17:32:04,67.176.52.206,337987,212879,10140
2023-06-01 17:34:05,67.176.52.206,338735,213380,10262
2023-06-01 17:36:04,67.176.52.206,339581,213815,10364
2023-06-01 17:38:05,67.176.52.206,340416,214330,10453
2023-06-01 17:40:04,67.176.52.206,341562,214904,10541
2023-06-01 17:42:05,67.176.52.206,342327,215465,10635
2023-06-01 17:44:05,67.176.52.206,343227,215897,10718
2023-06-01 17:46:05,67.176.52.206,343762,216247,10814
2023-06-01 17:48:05,67.176.52.206,344472,216697,10908
2023-06-01 17:50:04,67.176.52.206,345397,217112,11008
2023-06-01 17:52:05,67.176.52.206,346027,217475,11099
2023-06-01 17:54:04,67.176.52.206,346708,217864,11187
2023-06-01 17:56:05,67.176.52.206,347250,218216,11274
2023-06-01 17:58:05,67.176.52.206,348001,218613,11371
2023-06-01 18:00:05,67.176.52.206,348514,219006,11457
2023-06-01 18:02:05,67.176.52.206,349267,219419,11541
2023-06-01 18:04:04,67.176.52.206,350512,220367,11642
2023-06-01 18:06:05,67.176.52.206,351080,220726,11745
2023-06-01 18:08:04,67.176.52.206,351673,221129,11835
2023-06-01 18:10:05,67.176.52.206,352287,221499,11929
2023-06-01 18:12:04,67.176.52.206,352824,221875,12027
2023-06-01 18:14:05,67.176.52.206,353315,222269,12123
2023-06-01 18:16:05,67.176.52.206,354367,222674,12212
2023-06-01 18:18:05,67.176.52.206,354972,223155,12320
2023-06-01 18:20:05,67.176.52.206,355541,223507,12413
2023-06-01 18:22:04,67.176.52.206,356087,223888,12503
2023-06-01 18:24:05,67.176.52.206,356687,224267,12594
2023-06-01 18:26:04,67.176.52.206,357041,224565,12677
2023-06-01 18:28:05,67.176.52.206,357582,224934,12769
2023-06-01 18:30:04,67.176.52.206,358191,225333,12863
2023-06-01 18:32:05,67.176.52.206,358842,225695,12957
2023-06-01 18:34:05,67.176.52.206,359378,226057,13065
2023-06-01 18:36:05,67.176.52.206,359868,226455,13162
2023-06-01 18:38:05,67.176.52.206,360357,226878,13251
2023-06-01 18:40:04,67.176.52.206,360964,227227,13340
2023-06-01 18:42:05,67.176.52.206,362043,227670,13428
2023-06-01 18:44:04,67.176.52.206,362686,228053,13524
2023-06-01 18:46:05,67.176.52.206,363248,228455,13619
2023-06-01 18:48:05,67.176.52.206,363893,228925,13712
2023-06-01 18:50:05,67.176.52.206,364406,229280,13815
2023-06-01 18:52:05,67.176.52.206,365195,229689,13907
2023-06-01 18:54:05,67.176.52.206,365686,230050,13994
2023-06-01 18:56:05,67.176.52.206,366111,230370,14080
2023-06-01 18:58:04,67.176.52.206,366730,230727,14181
2023-06-01 19:00:05,67.176.52.206,367274,231076,14277
2023-06-01 19:02:04,67.176.52.206,367787,231416,14364
2023-06-01 19:04:05,67.176.52.206,368458,231783,14454
